FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	23824848
TOTAL_READ_PAIRS	27737613
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	3912765
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	53.97
BENCHMARK_MinutesPerMillionReads	1.95
BENCHMARK_MinutesPerMillionGoodReads	2.27
ReadPairs_AmbigGene	1502592
ReadPairs_UniqueGene	21964058
ReadPairs_UniqueGene_CDS	20332849
ReadPairs_UniqueGene_UTR	1631209
ReadPairs_NoGene	358198
ReadPairs_NoGene_Intron	186249
ReadPairs_NoGene_OneKbFromGene	27589
ReadPairs_NoGene_TenKbFromGene	78466
ReadPairs_NoGene_MiddleOfNowhere	65894
Genes_Total	65217
Genes_WithZeroCounts	43384
Genes_WithNonzeroCounts	21833
InsertSizeCalc_Kept	23661995
InsertSizeCalc_lt_readLen	60062
InsertSizeCalc_eq_readLen	27379
InsertSizeCalc_readLen_to_2xreadLen	12790063
InsertSizeCalc_ge_2xreadLen	10784491
InsertSizeCalc_Dropped	162853
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	101790
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	61063
AggregateGenes	60969
AggregateGenes_NoReads	40016
AggregateGenes_WithReads	20953
SpliceLoci	530110
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	205169
SpliceLoci_Known_FewReads	36055
SpliceLoci_Known_ManyReads	133479
SpliceLoci_Novel	155407
SpliceLoci_Novel_FewReads	137947
SpliceLoci_Novel_ManyReads	17460
SpliceEvents	15352915
SpliceEvents_KnownLoci	14819745
SpliceEvents_KnownLociWithFewReads	61341
SpliceEvents_KnownLociWithManyReads	14758404
SpliceEvents_NovelLoci	533170
SpliceEvents_NovelLociWithFewReads	184051
SpliceEvents_NovelLociWithManyReads	349119
StrandTest_frFirstStrand	22236901
StrandTest_frSecondStrand	213497
StrandTest_ambig_genesFountOnBothStrands	953029
StrandTest_ambig_noGenes	420395
StrandTest_ambig_other	1026
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	66
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
