FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	62999489
TOTAL_READ_PAIRS	73966365
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	10966876
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	129.48
BENCHMARK_MinutesPerMillionReads	1.75
BENCHMARK_MinutesPerMillionGoodReads	2.06
ReadPairs_AmbigGene	3108358
ReadPairs_UniqueGene	57860621
ReadPairs_UniqueGene_CDS	51883319
ReadPairs_UniqueGene_UTR	5977302
ReadPairs_NoGene	2030510
ReadPairs_NoGene_Intron	1263504
ReadPairs_NoGene_OneKbFromGene	97573
ReadPairs_NoGene_TenKbFromGene	351156
ReadPairs_NoGene_MiddleOfNowhere	318277
Genes_Total	65217
Genes_WithZeroCounts	39571
Genes_WithNonzeroCounts	25646
InsertSizeCalc_Kept	62636257
InsertSizeCalc_lt_readLen	119437
InsertSizeCalc_eq_readLen	59199
InsertSizeCalc_readLen_to_2xreadLen	31839493
InsertSizeCalc_ge_2xreadLen	30618128
InsertSizeCalc_Dropped	363232
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	248045
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	115187
AggregateGenes	60969
AggregateGenes_NoReads	36491
AggregateGenes_WithReads	24478
SpliceLoci	478993
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	195445
SpliceLoci_Known_FewReads	25302
SpliceLoci_Known_ManyReads	153956
SpliceLoci_Novel	104290
SpliceLoci_Novel_FewReads	71734
SpliceLoci_Novel_ManyReads	32556
SpliceEvents	38848260
SpliceEvents_KnownLoci	37547043
SpliceEvents_KnownLociWithFewReads	44790
SpliceEvents_KnownLociWithManyReads	37502253
SpliceEvents_NovelLoci	1301217
SpliceEvents_NovelLociWithFewReads	113301
SpliceEvents_NovelLociWithManyReads	1187916
StrandTest_frFirstStrand	57322157
StrandTest_frSecondStrand	835385
StrandTest_ambig_genesFountOnBothStrands	2829821
StrandTest_ambig_noGenes	2008318
StrandTest_ambig_other	3808
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	85
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
