FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	74234933
TOTAL_READ_PAIRS	86242331
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	12007398
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	154.13
BENCHMARK_MinutesPerMillionReads	1.79
BENCHMARK_MinutesPerMillionGoodReads	2.08
ReadPairs_AmbigGene	2878309
ReadPairs_UniqueGene	68859443
ReadPairs_UniqueGene_CDS	61445889
ReadPairs_UniqueGene_UTR	7413554
ReadPairs_NoGene	2497181
ReadPairs_NoGene_Intron	1403335
ReadPairs_NoGene_OneKbFromGene	114707
ReadPairs_NoGene_TenKbFromGene	406764
ReadPairs_NoGene_MiddleOfNowhere	572375
Genes_Total	65217
Genes_WithZeroCounts	37390
Genes_WithNonzeroCounts	27827
InsertSizeCalc_Kept	73436773
InsertSizeCalc_lt_readLen	350442
InsertSizeCalc_eq_readLen	146000
InsertSizeCalc_readLen_to_2xreadLen	43456356
InsertSizeCalc_ge_2xreadLen	29483975
InsertSizeCalc_Dropped	798160
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	368984
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	429176
AggregateGenes	60969
AggregateGenes_NoReads	34349
AggregateGenes_WithReads	26620
SpliceLoci	503393
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	186052
SpliceLoci_Known_FewReads	31028
SpliceLoci_Known_ManyReads	157623
SpliceLoci_Novel	128690
SpliceLoci_Novel_FewReads	95544
SpliceLoci_Novel_ManyReads	33146
SpliceEvents	43266435
SpliceEvents_KnownLoci	42082636
SpliceEvents_KnownLociWithFewReads	54220
SpliceEvents_KnownLociWithManyReads	42028416
SpliceEvents_NovelLoci	1183799
SpliceEvents_NovelLociWithFewReads	143029
SpliceEvents_NovelLociWithManyReads	1040770
StrandTest_frFirstStrand	67524651
StrandTest_frSecondStrand	1098864
StrandTest_ambig_genesFountOnBothStrands	3179938
StrandTest_ambig_noGenes	2427879
StrandTest_ambig_other	3601
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	96
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
