FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	66999437
TOTAL_READ_PAIRS	86544054
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	19544617
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	140.32
BENCHMARK_MinutesPerMillionReads	1.62
BENCHMARK_MinutesPerMillionGoodReads	2.09
ReadPairs_AmbigGene	4506849
ReadPairs_UniqueGene	59728513
ReadPairs_UniqueGene_CDS	52957016
ReadPairs_UniqueGene_UTR	6771497
ReadPairs_NoGene	2764075
ReadPairs_NoGene_Intron	1530504
ReadPairs_NoGene_OneKbFromGene	152499
ReadPairs_NoGene_TenKbFromGene	530086
ReadPairs_NoGene_MiddleOfNowhere	550986
Genes_Total	65217
Genes_WithZeroCounts	37299
Genes_WithNonzeroCounts	27918
InsertSizeCalc_Kept	65190545
InsertSizeCalc_lt_readLen	1118078
InsertSizeCalc_eq_readLen	473516
InsertSizeCalc_readLen_to_2xreadLen	51873554
InsertSizeCalc_ge_2xreadLen	11725397
InsertSizeCalc_Dropped	1808892
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	441507
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	1367385
AggregateGenes	60969
AggregateGenes_NoReads	34261
AggregateGenes_WithReads	26708
SpliceLoci	603367
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	192088
SpliceLoci_Known_FewReads	31758
SpliceLoci_Known_ManyReads	150857
SpliceLoci_Novel	228664
SpliceLoci_Novel_FewReads	177803
SpliceLoci_Novel_ManyReads	50861
SpliceEvents	32056131
SpliceEvents_KnownLoci	30133775
SpliceEvents_KnownLociWithFewReads	55146
SpliceEvents_KnownLociWithManyReads	30078629
SpliceEvents_NovelLoci	1922356
SpliceEvents_NovelLociWithFewReads	263000
SpliceEvents_NovelLociWithManyReads	1659356
StrandTest_frFirstStrand	60966928
StrandTest_frSecondStrand	1400583
StrandTest_ambig_genesFountOnBothStrands	2785832
StrandTest_ambig_noGenes	1844700
StrandTest_ambig_other	1394
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	80
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
