FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	30569843
TOTAL_READ_PAIRS	44524438
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	13954595
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	65.58
BENCHMARK_MinutesPerMillionReads	1.47
BENCHMARK_MinutesPerMillionGoodReads	2.15
ReadPairs_AmbigGene	4344165
ReadPairs_UniqueGene	25789037
ReadPairs_UniqueGene_CDS	24840232
ReadPairs_UniqueGene_UTR	948805
ReadPairs_NoGene	436641
ReadPairs_NoGene_Intron	76283
ReadPairs_NoGene_OneKbFromGene	27713
ReadPairs_NoGene_TenKbFromGene	147458
ReadPairs_NoGene_MiddleOfNowhere	185187
Genes_Total	65217
Genes_WithZeroCounts	43965
Genes_WithNonzeroCounts	21252
InsertSizeCalc_Kept	30236687
InsertSizeCalc_lt_readLen	167878
InsertSizeCalc_eq_readLen	80336
InsertSizeCalc_readLen_to_2xreadLen	16871128
InsertSizeCalc_ge_2xreadLen	13117345
InsertSizeCalc_Dropped	333156
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	154265
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	178891
AggregateGenes	60969
AggregateGenes_NoReads	40492
AggregateGenes_WithReads	20477
SpliceLoci	444000
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	214276
SpliceLoci_Known_FewReads	36031
SpliceLoci_Known_ManyReads	124396
SpliceLoci_Novel	69297
SpliceLoci_Novel_FewReads	53950
SpliceLoci_Novel_ManyReads	15347
SpliceEvents	18123260
SpliceEvents_KnownLoci	16764755
SpliceEvents_KnownLociWithFewReads	61781
SpliceEvents_KnownLociWithManyReads	16702974
SpliceEvents_NovelLoci	1358505
SpliceEvents_NovelLociWithFewReads	78612
SpliceEvents_NovelLociWithManyReads	1279893
StrandTest_frFirstStrand	28936981
StrandTest_frSecondStrand	325149
StrandTest_ambig_genesFountOnBothStrands	1142102
StrandTest_ambig_noGenes	165233
StrandTest_ambig_other	378
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	53
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
