FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	29321296
TOTAL_READ_PAIRS	39035835
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	9714539
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	61.85
BENCHMARK_MinutesPerMillionReads	1.58
BENCHMARK_MinutesPerMillionGoodReads	2.11
ReadPairs_AmbigGene	3582609
ReadPairs_UniqueGene	25040767
ReadPairs_UniqueGene_CDS	23576279
ReadPairs_UniqueGene_UTR	1464488
ReadPairs_NoGene	697920
ReadPairs_NoGene_Intron	359903
ReadPairs_NoGene_OneKbFromGene	41120
ReadPairs_NoGene_TenKbFromGene	152037
ReadPairs_NoGene_MiddleOfNowhere	144860
Genes_Total	65217
Genes_WithZeroCounts	41078
Genes_WithNonzeroCounts	24139
InsertSizeCalc_Kept	28622735
InsertSizeCalc_lt_readLen	416814
InsertSizeCalc_eq_readLen	162427
InsertSizeCalc_readLen_to_2xreadLen	22093579
InsertSizeCalc_ge_2xreadLen	5949915
InsertSizeCalc_Dropped	698561
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	222668
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	475893
AggregateGenes	60969
AggregateGenes_NoReads	37808
AggregateGenes_WithReads	23161
SpliceLoci	523445
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	208635
SpliceLoci_Known_FewReads	37536
SpliceLoci_Known_ManyReads	128532
SpliceLoci_Novel	148742
SpliceLoci_Novel_FewReads	126641
SpliceLoci_Novel_ManyReads	22101
SpliceEvents	14393527
SpliceEvents_KnownLoci	12990224
SpliceEvents_KnownLociWithFewReads	64388
SpliceEvents_KnownLociWithManyReads	12925836
SpliceEvents_NovelLoci	1403303
SpliceEvents_NovelLociWithFewReads	174121
SpliceEvents_NovelLociWithManyReads	1229182
StrandTest_frFirstStrand	27419460
StrandTest_frSecondStrand	362041
StrandTest_ambig_genesFountOnBothStrands	992789
StrandTest_ambig_noGenes	546485
StrandTest_ambig_other	521
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	68
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
