FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	31423344
TOTAL_READ_PAIRS	40080102
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	8656758
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	74.52
BENCHMARK_MinutesPerMillionReads	1.86
BENCHMARK_MinutesPerMillionGoodReads	2.37
ReadPairs_AmbigGene	2747711
ReadPairs_UniqueGene	28157793
ReadPairs_UniqueGene_CDS	26955924
ReadPairs_UniqueGene_UTR	1201869
ReadPairs_NoGene	517840
ReadPairs_NoGene_Intron	84900
ReadPairs_NoGene_OneKbFromGene	42048
ReadPairs_NoGene_TenKbFromGene	154909
ReadPairs_NoGene_MiddleOfNowhere	235983
Genes_Total	65217
Genes_WithZeroCounts	43153
Genes_WithNonzeroCounts	22064
InsertSizeCalc_Kept	31052863
InsertSizeCalc_lt_readLen	193757
InsertSizeCalc_eq_readLen	87460
InsertSizeCalc_readLen_to_2xreadLen	17601123
InsertSizeCalc_ge_2xreadLen	13170523
InsertSizeCalc_Dropped	370481
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	152053
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	218428
AggregateGenes	60969
AggregateGenes_NoReads	39737
AggregateGenes_WithReads	21232
SpliceLoci	466929
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	208179
SpliceLoci_Known_FewReads	35771
SpliceLoci_Known_ManyReads	130753
SpliceLoci_Novel	92226
SpliceLoci_Novel_FewReads	70644
SpliceLoci_Novel_ManyReads	21582
SpliceEvents	21346337
SpliceEvents_KnownLoci	20549697
SpliceEvents_KnownLociWithFewReads	61302
SpliceEvents_KnownLociWithManyReads	20488395
SpliceEvents_NovelLoci	796640
SpliceEvents_NovelLociWithFewReads	104653
SpliceEvents_NovelLociWithManyReads	691987
StrandTest_frFirstStrand	29172812
StrandTest_frSecondStrand	444672
StrandTest_ambig_genesFountOnBothStrands	1654112
StrandTest_ambig_noGenes	151148
StrandTest_ambig_other	600
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	57
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
