FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	11552934
TOTAL_READ_PAIRS	14170571
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	2617637
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	26.65
BENCHMARK_MinutesPerMillionReads	1.88
BENCHMARK_MinutesPerMillionGoodReads	2.31
ReadPairs_AmbigGene	403963
ReadPairs_UniqueGene	10594648
ReadPairs_UniqueGene_CDS	9123435
ReadPairs_UniqueGene_UTR	1471213
ReadPairs_NoGene	554323
ReadPairs_NoGene_Intron	172611
ReadPairs_NoGene_OneKbFromGene	24628
ReadPairs_NoGene_TenKbFromGene	101321
ReadPairs_NoGene_MiddleOfNowhere	255763
Genes_Total	65217
Genes_WithZeroCounts	46544
Genes_WithNonzeroCounts	18673
InsertSizeCalc_Kept	10884140
InsertSizeCalc_lt_readLen	345559
InsertSizeCalc_eq_readLen	138694
InsertSizeCalc_readLen_to_2xreadLen	9332740
InsertSizeCalc_ge_2xreadLen	1067147
InsertSizeCalc_Dropped	668794
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	79540
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	589254
AggregateGenes	60969
AggregateGenes_NoReads	42902
AggregateGenes_WithReads	18067
SpliceLoci	389143
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	274146
SpliceLoci_Known_FewReads	18526
SpliceLoci_Known_ManyReads	82031
SpliceLoci_Novel	14440
SpliceLoci_Novel_FewReads	7799
SpliceLoci_Novel_ManyReads	6641
SpliceEvents	4551298
SpliceEvents_KnownLoci	4269258
SpliceEvents_KnownLociWithFewReads	35776
SpliceEvents_KnownLociWithManyReads	4233482
SpliceEvents_NovelLoci	282040
SpliceEvents_NovelLociWithFewReads	12896
SpliceEvents_NovelLociWithManyReads	269144
StrandTest_frFirstStrand	10498268
StrandTest_frSecondStrand	342532
StrandTest_ambig_genesFountOnBothStrands	426148
StrandTest_ambig_noGenes	285879
StrandTest_ambig_other	107
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	72
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
