FIELD	COUNT
Stranded_Rule_Code	1
READ_PAIR_OK	41361503
TOTAL_READ_PAIRS	46461391
DROPPED_NOT_PROPER_PAIR	0
DROPPED_READ_FAILS_VENDOR_QC	0
DROPPED_MARKED_NOT_VALID	0
DROPPED_CHROMS_MISMATCH	0
DROPPED_PAIR_STRANDS_MISMATCH	0
DROPPED_IGNORED_CHROMOSOME	0
DROPPED_NOT_UNIQUE_ALIGNMENT	5099888
KEPT_NOT_UNIQUE_ALIGNMENT	0
minObservedReadLength	75
maxObservedReadLength	75
maxLegalPhredScore	41
IS_SINGLE_END	0
PREALIGNMENT_READ_CT	-1
BENCHMARK_MinutesOnSamIteration	81.75
BENCHMARK_MinutesPerMillionReads	1.76
BENCHMARK_MinutesPerMillionGoodReads	1.98
ReadPairs_AmbigGene	1459213
ReadPairs_UniqueGene	38591953
ReadPairs_UniqueGene_CDS	33300058
ReadPairs_UniqueGene_UTR	5291895
ReadPairs_NoGene	1310337
ReadPairs_NoGene_Intron	535347
ReadPairs_NoGene_OneKbFromGene	70993
ReadPairs_NoGene_TenKbFromGene	261901
ReadPairs_NoGene_MiddleOfNowhere	442096
Genes_Total	65217
Genes_WithZeroCounts	42680
Genes_WithNonzeroCounts	22537
InsertSizeCalc_Kept	40695110
InsertSizeCalc_lt_readLen	290381
InsertSizeCalc_eq_readLen	122110
InsertSizeCalc_readLen_to_2xreadLen	28793366
InsertSizeCalc_ge_2xreadLen	11489253
InsertSizeCalc_Dropped	666393
InsertSizeCalc_Dropped_FwdReadAppearsAfterRevReadEnds	0
InsertSizeCalc_Dropped_ReadsOverlapButSpliceInconsistantlyOnOverlappingSections	314965
InsertSizeCalc_Dropped_RevReadStartsBeforeFwdAndTooManyAdaptorBasesAlign	351428
AggregateGenes	60969
AggregateGenes_NoReads	39355
AggregateGenes_WithReads	21614
SpliceLoci	424983
SpliceLoci_Known	374703
SpliceLoci_Known_NoReads	223176
SpliceLoci_Known_FewReads	18203
SpliceLoci_Known_ManyReads	133324
SpliceLoci_Novel	50280
SpliceLoci_Novel_FewReads	28334
SpliceLoci_Novel_ManyReads	21946
SpliceEvents	26387993
SpliceEvents_KnownLoci	25699668
SpliceEvents_KnownLociWithFewReads	33811
SpliceEvents_KnownLociWithManyReads	25665857
SpliceEvents_NovelLoci	688325
SpliceEvents_NovelLociWithFewReads	45622
SpliceEvents_NovelLociWithManyReads	642703
StrandTest_frFirstStrand	38113457
StrandTest_frSecondStrand	704608
StrandTest_ambig_genesFountOnBothStrands	1592791
StrandTest_ambig_noGenes	949330
StrandTest_ambig_other	1317
StrandTest_STRANDEDNESS_MATCHES_INFERRED	1
NumberOfChromosomesCovered	78
READ_LENGTH	75
COMPLETED_WITHOUT_WARNING	1
COMPLETED_WITHOUT_ERROR	1
